ROUTE_ID,CHANGE
285350,ADD
285387,ADD
285388,ADD
285418,ADD
285369,ADD
285370,ADD
285371,ADD
285372,ADD
285373,ADD
285374,ADD
285375,ADD
285376,ADD
285377,ADD
285318,ADD
285316,ADD
285317,ADD
285319,ADD
285320,ADD
285321,ADD
285322,ADD
5649,UPDATE
4982,UPDATE
4983,UPDATE
104567,UPDATE
106829,UPDATE
105099,UPDATE
106710,UPDATE
93238,UPDATE
106113,UPDATE
110003,UPDATE
107038,UPDATE
110555,UPDATE
96986,UPDATE
94112,UPDATE
95339,UPDATE
94287,UPDATE
94211,UPDATE
266658,UPDATE
273223,UPDATE
106877,UPDATE
95703,UPDATE
95704,UPDATE
110569,UPDATE
95702,UPDATE
110570,UPDATE
