dataset_id,name,title,organization_title,organization_name,license_title,metadata_created,metadata_modified,num_resources,api_access,tags,groups,resource_formats,resource_urls,url,organization_id
5363179b-4779-41a6-96bd-8cb33da5b03a,hk-aw-jp-jp,Justices of the Peace (JP) List,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:14.173401,2025-09-09T16:30:19.348949,4,False,,miscellaneous,JSON|JSON|JSON|JSON,https://www.info.gov.hk/jp/source/opendata/opendata_Non-official_JPs_en.json | https://www.info.gov.hk/jp/source/opendata/opendata_Non-official_JPs_tc.json | https://www.info.gov.hk/jp/source/opendata/opendata_Official_JPs_en.json | https://www.info.gov.hk/jp/source/opendata/opendata_Official_JPs_tc.json,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
712ae4fe-f39c-42c0-8599-4f3f1ed15dad,hk-aw-drf-approved-drf-grants,Disaster Relief Fund Approved Grants,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:03.585292,2025-07-08T16:30:28.113310,6,False,,miscellaneous,CSV|CSV|CSV|JSON|JSON|JSON,https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-en.csv | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-tc.csv | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-sc.csv | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-en.json | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-tc.json | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-sc.json,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
805b8cb1-548d-4cbb-8326-f42eb4992001,hk-aw-honours-honours,List of Recipients of Hong Kong Special Administrative Region Honours and Awards,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:19.634335,2025-06-30T16:30:30.952476,2,False,,miscellaneous,JSON|JSON,https://www.admwing.gov.hk/opendata/honours/honour-list_en.json | https://www.admwing.gov.hk/opendata/honours/honour-list_tc.json,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
52c29048-c662-4c29-83c1-21569d278166,hk-aw-grs-destruction-of-records-in-the-government,Destruction of Records in the Government,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:11.842636,2025-06-04T16:30:44.998991,3,False,,miscellaneous,CSV|CSV|CSV,https://www.grs.gov.hk/opendata/dissemination-for-destruction-information-en.csv | https://www.grs.gov.hk/opendata/dissemination-for-destruction-information-tc.csv | https://www.grs.gov.hk/opendata/dissemination-for-destruction-information-sc.csv,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
576cf92d-9761-4d7c-aec3-29a1c56cd128,hk-aw-grs-total-quantity-of-grs-archival-stock,Government Records Service' Archival Stock,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:10.801395,2025-06-04T16:30:40.320621,1,False,,miscellaneous,CSV,https://www.grs.gov.hk/opendata/total-quantity-of-grs-archival-stock-en.csv,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
5f0b1109-6f6f-41e9-93b0-e3f615d3a917,hk-afcd-afcdlist-spending-data-head-22,"Spending data of Head 22 - Agriculture, Fisheries and Conservation Department","Agriculture, Fisheries and Conservation Department",hk-afcd,,2023-08-08T16:30:29.651756,2025-08-04T16:30:18.682800,1,False,,finance,CSV,https://www.afcd.gov.hk/data/gra_summary_2024_25_en.csv,,0eaccf1a-1abf-435c-876a-c75280d45db9
f5f8764b-da1e-4fa6-b3cb-77e3e429ce3c,hk-afcd-afcdlist-agrienjoyfarmcsdi,"Information on ""Agri enJoy"" farms","Agriculture, Fisheries and Conservation Department",hk-afcd,,2025-06-10T16:30:27.534008,2025-06-10T16:30:28.135683,1,False,,development,API,https://portal.csdi.gov.hk/geoportal/?lang=en&datasetId=afcd_rcd_1728897281558_96283,,0eaccf1a-1abf-435c-876a-c75280d45db9
5b1d4ed3-b4d0-49c2-a246-510a27e5905c,hk-afcd-afcdlist-cropfarms,Information on Registered Crop Farms,"Agriculture, Fisheries and Conservation Department",hk-afcd,,2023-06-28T16:31:00.368323,2025-06-10T16:30:26.763523,1,False,,development,API,https://portal.csdi.gov.hk/geoportal/?datasetId=afcd_rcd_1635135869747_96700,,0eaccf1a-1abf-435c-876a-c75280d45db9
6f3fa656-31b3-4e4a-9df9-ee94f16a4c88,hk-afcd-afcdlist-livestockfarms,Information on Licensed Livestock Farms,"Agriculture, Fisheries and Conservation Department",hk-afcd,,2023-06-28T16:30:58.334943,2025-06-10T16:30:25.271838,1,False,,development,API,https://portal.csdi.gov.hk/geoportal/?datasetId=afcd_rcd_1635135309990_3450,,0eaccf1a-1abf-435c-876a-c75280d45db9
d9b2ace4-50e4-46c9-84a5-12c56baaf7f9,hk-afcd-afcdlist-cpinfoboardcsdi,Information boards in Country Parks,"Agriculture, Fisheries and Conservation Department",hk-afcd,,2025-04-17T16:30:39.273588,2025-04-17T16:30:39.843811,1,False,,recreation-and-culture,API,https://portal.csdi.gov.hk/geoportal/?lang=en&datasetId=afcd_rcd_1728897159969_81945,,0eaccf1a-1abf-435c-876a-c75280d45db9
67342bae-3fc4-470b-895b-cd707f8f9ab9,aahk-team1-flight-info,Flight Information,Airport Authority Hong Kong,aahk,,2021-07-02T03:33:14.080562,2021-07-02T03:33:14.581271,1,False,,transport,JSON,https://www.hongkongairport.com/flightinfo-rest/rest/flights/past?date=<date>&lang=en&cargo=false&arrival=false,,ebe2e138-7ea8-43ef-be36-553be99c5d86
bb5b0eb6-e9e5-4e38-88d8-9ee25b6c7ca8,hk-archsd-archsddata-beampluscsdi,Hong Kong Green Building Council (HKGBC) BEAM Plus Assessment Final Grading for Capital Projects,Architectural Services Department,hk-archsd,,2024-12-23T16:30:19.014820,2024-12-23T16:30:19.767470,1,False,,development,API,https://portal.csdi.gov.hk/geoportal/?datasetId=archsd_rcd_1697166622356_94374,,c976c606-bede-4414-b415-b63a1515e407
0dcb3698-4d0a-4ef3-8e1c-02813d05d484,hk-archsd-archsddata-govbnf,Government buildings and facilities maintained by ArchSD,Architectural Services Department,hk-archsd,,2022-12-29T16:32:23.237247,2023-02-16T16:31:45.224589,2,False,,development,FGDB|API,https://www.archsd.gov.hk/en/psi/govbnf.zip | https://portal.csdi.gov.hk/geoportal/?datasetId=archsd_rcd_1629267205233_15823,,c976c606-bede-4414-b415-b63a1515e407
7b968266-04e5-415a-9029-09057550ad56,hk-archsd-archsddata-treess,Trees on SIMAR Slopes Maintained by ArchSD,Architectural Services Department,hk-archsd,,2022-12-29T16:32:22.129143,2023-02-16T16:31:44.543176,2,False,,environment,FGDB|API,https://www.archsd.gov.hk/en/psi/treess.zip | https://portal.csdi.gov.hk/geoportal/?datasetId=archsd_rcd_1629267205233_1276,,c976c606-bede-4414-b415-b63a1515e407
5fa796b0-1410-4310-ae2f-bbdf5ba16e46,hk-archsd-archsddata-beampluspl,Hong Kong Green Building Council (HKGBC) BEAM Plus Assessment Final Grading for Completed Capital Works Projects managed by the Architectural Services Department,Architectural Services Department,hk-archsd,,2021-07-02T03:35:51.203342,2023-02-16T16:31:43.730758,3,False,,development,JSON|JSON|JSON,https://www.archsd.gov.hk/en/psi/beampluspl-en.json | https://www.archsd.gov.hk/tc/psi/beampluspl-tc.json | https://www.archsd.gov.hk/sc/psi/beampluspl-sc.json,,c976c606-bede-4414-b415-b63a1515e407
c9640ed1-6818-4bd3-9ed8-ce2220f53f6b,hk-archsd-archsddata-acgca,Awarded Contractors under Green Contractor Awards,Architectural Services Department,hk-archsd,,2021-07-02T03:35:49.133916,2023-02-16T16:31:40.263685,3,False,,development,JSON|JSON|JSON,https://www.archsd.gov.hk/en/psi/acgca-en.json | https://www.archsd.gov.hk/tc/psi/acgca-tc.json | https://www.archsd.gov.hk/sc/psi/acgca-sc.json,,c976c606-bede-4414-b415-b63a1515e407
c89dc16e-69cc-4ced-a851-656073ba371d,hk-aud-tab-approved-estimate,Audit Commission approved Estimates of Expenditure,Audit Commission,hk-aud,,2022-03-19T16:30:35.016206,2025-06-12T16:30:34.963617,1,False,,miscellaneous,JSON,https://www.aud.gov.hk/datagovhk/approved-estimate.json,,75e232d1-3ce8-4232-a873-dc9d2425573a
00a019dc-f808-474c-b3ac-2c2f0d583f52,hk-aud-tab-vfm-by-subjects,Director of Audit’s Reports on value for money audits grouped by subjects,Audit Commission,hk-aud,,2021-07-02T03:35:59.449572,2025-06-12T16:30:33.545820,1,False,,miscellaneous,JSON,https://www.aud.gov.hk/datagovhk/vfm-by-subjects.json,,75e232d1-3ce8-4232-a873-dc9d2425573a
575e122c-9010-488c-91ed-5f4baad5c2ec,hk-aud-tab-performance-indicators,Performance indicators of Regularity Audits (RA) and Value for Money Audits (VFM) of Audit Commission,Audit Commission,hk-aud,,2021-07-02T03:35:58.518131,2025-06-12T16:30:31.713464,1,False,,miscellaneous,JSON,https://www.aud.gov.hk/datagovhk/performance-indicators.json,,75e232d1-3ce8-4232-a873-dc9d2425573a
a302e01e-35eb-48ca-908f-c663b8ccf2b6,hk-aud-tab-vfm-by-auditees,Director of Audit’s Reports on value for money audits grouped by auditees,Audit Commission,hk-aud,,2021-07-02T03:35:57.469867,2025-06-12T16:30:30.115349,1,False,,miscellaneous,JSON,https://www.aud.gov.hk/datagovhk/vfm-by-auditees.json,,75e232d1-3ce8-4232-a873-dc9d2425573a
55211b42-009d-47e5-8f5d-bd0daf36b4ca,hk-aud-tab-accounts-certified,Accounts certified by Audit Commission,Audit Commission,hk-aud,,2021-07-02T03:35:56.478535,2025-06-12T16:30:28.354926,1,False,,miscellaneous,JSON,https://www.aud.gov.hk/datagovhk/accounts-certified.json,,75e232d1-3ce8-4232-a873-dc9d2425573a
